split,row_index,query_id,cve_id,severity,row_sha256
megavul_train,0,megavul_train:0:c4c1f3311e6b,CVE-2018-9498,HIGH,c4c1f3311e6b7601343c7eaae1d582bbf41d77818d3d5cdf79263bb7351a2574
megavul_train,1,megavul_train:1:c610032bf7e9,CVE-2021-4069,HIGH,c610032bf7e91397a0718102cff95c38b1a964feb811d8580ce9c5754171f36d
megavul_train,2,megavul_train:2:55eaacc90030,CVE-2020-29374,LOW,55eaacc90030293f56541a58fe83c3ff9ce1cf382c000021cc3b465457ff689e
megavul_train,3,megavul_train:3:ae9e42ebb411,CVE-2021-32687,HIGH,ae9e42ebb41193c38c388c0aea0b400cd9466698733c3f26018a36e8dfb9967f
megavul_train,4,megavul_train:4:333750a2dee1,CVE-2018-19661,MEDIUM,333750a2dee10838879c6e5337cfb875b269abd1d9aaa83cf5c0df2ee8975602
megavul_train,5,megavul_train:5:a97006476943,CVE-2021-38166,HIGH,a9700647694309e2d58d6a13993740b3b718a8d6007e6afa9fc65f1a2a9169e7
megavul_train,6,megavul_train:6:6b6b0210b3a6,CVE-2020-29660,MEDIUM,6b6b0210b3a6c97722031510e88c32253193d7b9062b5dded90148993e5a5f23
megavul_train,7,megavul_train:7:8e4cccd287b0,CVE-2019-17347,HIGH,8e4cccd287b0727223b3b97aa26e2d8c2a5f27f0e9828222dfe2925287e1e467
megavul_train,8,megavul_train:8:8a020c8d7946,CVE-2017-18232,MEDIUM,8a020c8d794617a0afd918485e249b21f0ca23dea0852099cc0d2e2c7ff3a6f2
megavul_train,9,megavul_train:9:ba694c21cec6,CVE-2020-27673,MEDIUM,ba694c21cec6500bb7b12823a13450fc4c0d6fae33f3bac9734a4f47aa7ee1dd
megavul_train,10,megavul_train:10:3f1af091c0d1,CVE-2020-24275,MEDIUM,3f1af091c0d12277ef0da2e315cf2ba0604b49df02c76ec1c168c049e6ed763c
megavul_train,11,megavul_train:11:c3beb7cd866f,CVE-2020-35668,HIGH,c3beb7cd866f7e7eef8c88efb9d795c0b2e930f82ae892595b88c6358c34c6b6
megavul_train,12,megavul_train:12:bce906195c3c,CVE-2023-41268,MEDIUM,bce906195c3c978a702035cbb0f87a28bb70d54ea39f369ea55738baebe2b547
megavul_train,13,megavul_train:13:08167b898710,CVE-2021-33033,HIGH,08167b8987105072fe89d99f8e8af42483f7047f53996320a5cae6c3267352ce
megavul_train,14,megavul_train:14:27a654f42d07,CVE-2022-3491,HIGH,27a654f42d07653a0f1187791961d1eeeec43495f17be2a3d9e301c1eb5ca822
megavul_train,15,megavul_train:15:6f753759efc7,CVE-2016-0823,MEDIUM,6f753759efc74e63b0d91edc3fc00e28cd2da8cf7fda24223158d2583d0762f1
megavul_train,16,megavul_train:16:ce7d7e1d996d,CVE-2018-16426,MEDIUM,ce7d7e1d996d0e9737d77918375ca3e33559cc1e24831cd1aa1e45b6b41a3410
megavul_train,17,megavul_train:17:9390539ba423,CVE-2016-6213,MEDIUM,9390539ba4233c256c6e3aacac2d5a61480294e528b0b9c6a56f3e87e3b8f9c6
