split,row_index,query_id,cve_id,severity,row_sha256
bigvul_transfer,0,bigvul_transfer:0:460a3bd9a4bb,CVE-2015-3842,CRITICAL,460a3bd9a4bb555d4f1df526f5ba894120fadd9d46ebca9a2a4af2323944349b
bigvul_transfer,1,bigvul_transfer:1:87dda8e2f980,CVE-2011-3193,CRITICAL,87dda8e2f9804d0fe16fc3708db931789ccde88a7b6be5c824d4babad821708d
bigvul_transfer,2,bigvul_transfer:2:787cd0f701c2,CVE-2016-3916,CRITICAL,787cd0f701c27b7feb313ea46e3fa9b8f0a3be1ab62ed9fc09110fc27735a543
bigvul_transfer,3,bigvul_transfer:3:568306e467a8,CVE-2016-1647,CRITICAL,568306e467a84542890e95ced5a559683176c79dd53da0690d087afd4e21b7df
bigvul_transfer,4,bigvul_transfer:4:7196a5dc9d75,CVE-2016-0838,CRITICAL,7196a5dc9d75e250fc6e51096b3ebbf2e84bcb7baf1f45cee2692b9156766eb6
bigvul_transfer,5,bigvul_transfer:5:aa0396a24e40,CVE-2016-2476,CRITICAL,aa0396a24e401f0c35bb2a2e0c0421b9d1b917db2687aa13f38ce3a91deba9b8
bigvul_transfer,6,bigvul_transfer:6:c28274aaf96e,CVE-2016-1647,CRITICAL,c28274aaf96ecc48ec3f555a33667a4c607360e414a0008960dd3c15d5c3ee02
bigvul_transfer,7,bigvul_transfer:7:7237c8a17ebe,CVE-2017-16820,CRITICAL,7237c8a17ebee882a26940f9213489f3ec494352a77e738dd3a6537496312cfd
bigvul_transfer,8,bigvul_transfer:8:de9542058930,CVE-2015-6787,CRITICAL,de954205893090590974af5c22b0a19bac1723bf694b8df60f0f322977dbd923
bigvul_transfer,9,bigvul_transfer:9:888732b77e7a,CVE-2009-0397,CRITICAL,888732b77e7ad0524296a34b3ef687396318752fe29b37b82b8465e4d865452f
bigvul_transfer,10,bigvul_transfer:10:65a04bd8b067,CVE-2016-1621,CRITICAL,65a04bd8b067c418d5c9bc3a7c7139596760a7cc7f4baa875819428e33d1c794
bigvul_transfer,11,bigvul_transfer:11:ba7852e02d2f,CVE-2019-1010298,CRITICAL,ba7852e02d2f97b586de83540fd02aacd040f742b31487ec7d1904d7453e66fb
bigvul_transfer,12,bigvul_transfer:12:61d648a6cca5,CVE-2017-0589,CRITICAL,61d648a6cca55e8c24fd13b31c95da38f908596dcc31b24089319452a2337e08
bigvul_transfer,13,bigvul_transfer:13:185ccb719b1b,CVE-2019-5788,CRITICAL,185ccb719b1b6859d8f2eeebef67eee193d5f9518b7860104bccc48e97aae3b8
bigvul_transfer,14,bigvul_transfer:14:0c533ec27e35,CVE-2019-5788,CRITICAL,0c533ec27e3557f4dc2e6659ffeedb834079d19ed64391ef3eb3ad91195dd908
bigvul_transfer,15,bigvul_transfer:15:c75842633a54,CVE-2012-5139,CRITICAL,c75842633a544582e70208f7edba134177532f07cb206f3789828808d89aa5d4
bigvul_transfer,16,bigvul_transfer:16:881dbbfa5228,CVE-2015-5232,CRITICAL,881dbbfa5228cfb098d70b8d0cdcde8de89abda3a3cd8d9ee59e6808198f6932
bigvul_transfer,17,bigvul_transfer:17:e537e045fa13,CVE-2013-0840,CRITICAL,e537e045fa13f42e54fafd65ad9fdcf05fd6ac6aaf77cb4a4145b90990f268b0
bigvul_transfer,18,bigvul_transfer:18:63e624405789,CVE-2016-0826,CRITICAL,63e6244057899cfe3e1b970370f4e17b8f31cbd0badb678f37a1d844b26c4fbd
bigvul_transfer,19,bigvul_transfer:19:71ad4868d31a,CVE-2012-5138,CRITICAL,71ad4868d31a26c0ef0baf018c11ba367e4651cfe99b551643e2bdfcc79a6b30
bigvul_transfer,20,bigvul_transfer:20:1e79cd02e1f0,CVE-2015-6791,CRITICAL,1e79cd02e1f08bd6428294db8bb521fbfbab110b55d78b00afb16d719d2122d6
bigvul_transfer,21,bigvul_transfer:21:e01209dfae02,CVE-2017-13090,CRITICAL,e01209dfae0217708e8c16b3c487cb4a5a8a1174ab90ad1daf1c7ae1e1759f3f
bigvul_transfer,22,bigvul_transfer:22:ea07311fd269,CVE-2016-1621,CRITICAL,ea07311fd269c2bc93f472549ff7535da9eaffc2177774a64923bc1f572701d9
bigvul_transfer,23,bigvul_transfer:23:948a2b2bd63e,CVE-2016-1621,CRITICAL,948a2b2bd63e6e37ec24d48681beafceb89ead03c2d49556ab1ac7eace1df3ad
bigvul_transfer,24,bigvul_transfer:24:33e018e70c15,CVE-2015-3835,CRITICAL,33e018e70c15547a139a8ab9fd0bddca215c1fc0dddd65a052885d2149d6dcdd
bigvul_transfer,25,bigvul_transfer:25:00b5f6ef412e,CVE-2016-2508,CRITICAL,00b5f6ef412e753b4dd11769837e2f618beba8578171d359e28d850528e771d1
bigvul_transfer,26,bigvul_transfer:26:fa4725cb43c2,CVE-2018-6140,CRITICAL,fa4725cb43c28c999a35b53b7b246361fd998e6b448318f61ca3c0b54e9058ef
bigvul_transfer,27,bigvul_transfer:27:4aca40b79bbb,CVE-2016-10150,CRITICAL,4aca40b79bbba315e1d9323f1c0a38bee001619bf8f5018921e47fd13a21ce0c
bigvul_transfer,28,bigvul_transfer:28:02adc0a77933,CVE-2011-3099,CRITICAL,02adc0a77933a69fe8881f7ef95ef8976e85a0a3f0c63a0ce292531ab0b78555
bigvul_transfer,29,bigvul_transfer:29:0023689a76d4,CVE-2016-0838,CRITICAL,0023689a76d464591ee97cef9feb771ff089cfdd7795b2c51d4288ef9c70bc82
bigvul_transfer,30,bigvul_transfer:30:0cb31b473a7d,CVE-2019-11815,CRITICAL,0cb31b473a7da73cdc145d57100b8cbb51eecbc8d33e4cb783f8b53d59831878
bigvul_transfer,31,bigvul_transfer:31:910b42315eeb,CVE-2016-2476,CRITICAL,910b42315eebdfaff861becde052a32cda0fa0bfae08dcde7a61eb995e5c9c47
bigvul_transfer,32,bigvul_transfer:32:179b2bdaf76d,CVE-2016-2429,CRITICAL,179b2bdaf76d50442ba98cab6587f92e302998c76006f006f53f67f2b0f1e8f0
bigvul_transfer,33,bigvul_transfer:33:207799863ad5,CVE-2011-3101,CRITICAL,207799863ad5d4369f170881ee0303dbbb8a11d7a7715b4198ab72fafb2b0abb
